Smiles,Standard Value,Standardized Smiles,inchi_key,scaffold,MolWt,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,logP,fp
C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C/C=C\C[C@H](NC(=O)[C@H](N)Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1,161.0,C[C@@H](O)[C@@H](CO)NC(=O)C1C/C=C\CC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2cc3ccccc3[nH]2)C(=O)NC(CCCCN)C(=O)NC(Cc2ccc(O)cc2)C(=O)N1,WONGGRZRHAXATC-XNIXBDBWSA-N,O=C1CNC(=O)C(Cc2cc3ccccc3[nH]2)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)C/C=C\CCNC(=O)C(Cc2ccccc2)N1,1042.52763844,13,12,332.21999999999997,18,5,0.7171000000000161,[0 1 0 ... 0 0 0]
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,393.0,C[C@@H](O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(Cc2ccccc2)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)CSSCC(C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,RZHKDBRREKOZEW-QQMYGCGNSA-N,O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(Cc2ccccc2)NC(=O)CN2CCNCCNCCNCC2)CSSCCN1,1420.6155441039996,17,22,480.39,26,4,-3.466900000000019,[0 1 0 ... 0 0 0]
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(C(N)=O)cc2)CSS[C@H](C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)O)NC1=O,218.0,C[C@@H](O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc(C(N)=O)cc2)CSSC(C(=O)NC(Cc2ccc3ccccc3c2)C(=O)O)NC1=O,JMBYEHMDWDTQHV-PGAHMJDCSA-N,O=C1CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)CSSC(C(=O)NCCc2ccc3ccccc3c2)NC(=O)CN1,1173.441208584,14,15,392.3799999999999,19,6,1.0640000000000143,[0 1 0 ... 0 0 0]
CN(C(=O)c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(C(N)=O)cc2)CSSC[C@@H](C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCCN)NC1=O,9.9,CN(C(=O)c1ccc2ccccc2c1)C1NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(N)Cc2ccc(C(N)=O)cc2)CSSCC(C(=O)NC(Cc2ccc3ccccc3c2)C(N)=O)NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCN)NC1=O,DYTJXQNGJXFRFI-UHFFFAOYSA-N,O=C1CNC(=O)C(NC(=O)c2ccc3ccccc3c2)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)CSSCC(C(=O)NCCc2ccc3ccccc3c2)NC(=O)C(Cc2ccccc2)N1,1270.5092285679998,11,14,362.2299999999999,20,7,2.8224000000000125,[0 1 0 ... 0 0 0]
O=C(O)c1ccc(N2CC3(CCN(Cc4cn(C5CCCCC5)nc4-c4ccc(F)c(F)c4F)CC3)OC2=O)cc1,1.327,O=C(O)c1ccc(N2CC3(CCN(Cc4cn(C5CCCCC5)nc4-c4ccc(F)c(F)c4F)CC3)OC2=O)cc1,UIWMMQSREJVOHM-UHFFFAOYSA-N,O=C1OC2(CCN(Cc3cn(C4CCCCC4)nc3-c3ccccc3)CC2)CN1c1ccccc1,568.229740132,1,5,87.9,6,3,6.162200000000007,[0 0 1 ... 0 0 0]
Cc1ccc(S[C@H]2O[C@H](CO)[C@@H](O)[C@H](OC/C=C/CN)[C@@H]2NC(=O)Cc2c[nH]c3ccccc23)cc1,5900.0,Cc1ccc(S[C@H]2O[C@H](CO)[C@@H](O)[C@H](OC/C=C/CN)[C@@H]2NC(=O)Cc2c[nH]c3ccccc23)cc1,GEBDBNBQOSHILQ-OVVUVABUSA-N,O=C(Cc1c[nH]c2ccccc12)N[C@H]1CCCO[C@@H]1Sc1ccccc1,511.2140921560001,5,7,129.82999999999998,10,3,2.274120000000001,[0 0 0 ... 0 0 0]
Cc1ccc(S[C@H]2O[C@H](CO)[C@@H](O)[C@H](OCCCCN)[C@@H]2NC(=O)Cc2c[nH]c3ccccc23)cc1,18000.0,Cc1ccc(S[C@H]2O[C@H](CO)[C@@H](O)[C@H](OCCCCN)[C@@H]2NC(=O)Cc2c[nH]c3ccccc23)cc1,NCTAAWICZPBLJA-PCLULWIESA-N,O=C(Cc1c[nH]c2ccccc12)N[C@H]1CCCO[C@@H]1Sc1ccccc1,513.22974222,5,7,129.82999999999998,11,3,2.498120000000001,[0 0 0 ... 0 0 0]
CCOc1cc(CN2CCC3(CC2)NC(=O)NC3=O)cc(OCC)c1-c1ccc(F)cc1,110.0,CCOc1cc(CN2CCC3(CC2)NC(=O)NC3=O)cc(OCC)c1-c1ccc(F)cc1,WILOTRUGSQCRHL-UHFFFAOYSA-N,O=C1NC(=O)C2(CCN(Cc3ccc(-c4ccccc4)cc3)CC2)N1,441.20638459599996,2,5,79.9,7,2,3.464100000000002,[0 0 0 ... 0 0 0]
O=C(O)c1ccc(N2CC3(CCN(Cc4cc(Cl)c(-c5ccc(F)cc5F)c(C5CC5)c4)CC3)OC2=O)cc1,0.4,O=C(O)c1ccc(N2CC3(CCN(Cc4cc(Cl)c(-c5ccc(F)cc5F)c(C5CC5)c4)CC3)OC2=O)cc1,UWHFPKPNAAYPQP-UHFFFAOYSA-N,O=C1OC2(CCN(Cc3ccc(-c4ccccc4)c(C4CC4)c3)CC2)CN1c1ccccc1,552.1627414639999,1,4,70.08000000000001,6,3,6.852200000000006,[0 0 0 ... 0 0 0]
CC(C)[C@@H]1NC(=O)[C@H](CCCCN)N(C)C(=O)[C@@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,196.0,CC(C)C1NC(=O)C(CCCCN)N(C)C(=O)C(Cc2c[nH]c3ccccc23)N(C)C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)N(C)C(=O)C(Cc2ccccc2)NC1=O,HIPRHTXZCPIYPG-UHFFFAOYSA-N,O=C1CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN1,836.45849626,6,8,210.26999999999998,11,4,2.6553000000000075,[0 1 0 ... 0 0 0]
