"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5982295";"";"None";"416.55";"0";"3.98";"BDBM523778";"C1=CC2NC=C(c3nnc(SCc4ccccc4)n3CCCc3c[nH]cn3)C2C=C1";"kon";"'='";"";"";"";"";"1105795";"";"";"";"";"";"0";"CHEMBL5737464";"Radioligand Binding Assay: Competitive radioligand binding experiments were performed using MEMBRANE TARGET Systems (Perkin-Elmer, Boston, Mass.) for human somatostatin receptors: SSTR1 (ES-520-M400UA), SSTR2A (ES-521-M400UA), SSTR3 (ES523-M400UA), SSTR4 (ES-524-M400UA) and SSTR5 (ES-522-M400UA) receptors. (See Table 1). Respective membrane receptor preparations were prepared in assay buffer (25 mM HEPES, 10 mM MgCl2, 1 mM CaCl2, 0.5% BSA, pH=7.4) at a 1:150 dilution. Binding assays were performed using 1251-Tyr-SRIF 14 (Perkin-Elmer, NEX 3890) dissolved in 1 mM HCl. Binding assays were performed in triplicate for each concentration of ligand in a total volume of 200 μL radioligand (25 μL ligand, 25 μL radioligand, 150 μL receptors) and incubated at room temperature for 90 minutes using a shaking table. Binding was terminated by filtration through GF/B glass fiber filters that were presoaked in 0.5% polyethyleneimine for a minimum of 4 hours. Filters were washed 9× with 1000 μL ice cold wash buffer (50 mM Tris-HCl, pH=7.4, 0.2% BSA). Filters were scored, transferred into plastic test tubes and counted in a gamma counter (Wizard2, Perkin-Elmer). Determination of the Ki for each compound was performed using non-linear regression with GraphPad PRISM-5 software (GraphPad Software, Inc., La Jolla, Calif.).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5728792";"37";"BindingDB Patent Bioactivity Data";"";"2021";"None";"";"";"";""
"CHEMBL5991254";"";"None";"458.59";"1";"5.01";"BDBM523792";"COc1cccc(CSc2nnc(Cc3c[nH]c4ccccc34)n2CCCc2c[nH]cn2)c1";"k_off";"'='";"";"s-1";"";"";"1105832";"";"";"";"";"";"0";"CHEMBL5737464";"Radioligand Binding Assay: Competitive radioligand binding experiments were performed using MEMBRANE TARGET Systems (Perkin-Elmer, Boston, Mass.) for human somatostatin receptors: SSTR1 (ES-520-M400UA), SSTR2A (ES-521-M400UA), SSTR3 (ES523-M400UA), SSTR4 (ES-524-M400UA) and SSTR5 (ES-522-M400UA) receptors. (See Table 1). Respective membrane receptor preparations were prepared in assay buffer (25 mM HEPES, 10 mM MgCl2, 1 mM CaCl2, 0.5% BSA, pH=7.4) at a 1:150 dilution. Binding assays were performed using 1251-Tyr-SRIF 14 (Perkin-Elmer, NEX 3890) dissolved in 1 mM HCl. Binding assays were performed in triplicate for each concentration of ligand in a total volume of 200 μL radioligand (25 μL ligand, 25 μL radioligand, 150 μL receptors) and incubated at room temperature for 90 minutes using a shaking table. Binding was terminated by filtration through GF/B glass fiber filters that were presoaked in 0.5% polyethyleneimine for a minimum of 4 hours. Filters were washed 9× with 1000 μL ice cold wash buffer (50 mM Tris-HCl, pH=7.4, 0.2% BSA). Filters were scored, transferred into plastic test tubes and counted in a gamma counter (Wizard2, Perkin-Elmer). Determination of the Ki for each compound was performed using non-linear regression with GraphPad PRISM-5 software (GraphPad Software, Inc., La Jolla, Calif.).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5728792";"37";"BindingDB Patent Bioactivity Data";"";"2021";"None";"";"";"";""
"CHEMBL5800205";"";"None";"442.59";"1";"5.31";"BDBM523793";"Cc1cccc(CSc2nnc(Cc3c[nH]c4ccccc34)n2CCCc2c[nH]cn2)c1";"k_off";"'='";"";"s-1";"";"";"1105837";"";"";"";"";"";"0";"CHEMBL5737464";"Radioligand Binding Assay: Competitive radioligand binding experiments were performed using MEMBRANE TARGET Systems (Perkin-Elmer, Boston, Mass.) for human somatostatin receptors: SSTR1 (ES-520-M400UA), SSTR2A (ES-521-M400UA), SSTR3 (ES523-M400UA), SSTR4 (ES-524-M400UA) and SSTR5 (ES-522-M400UA) receptors. (See Table 1). Respective membrane receptor preparations were prepared in assay buffer (25 mM HEPES, 10 mM MgCl2, 1 mM CaCl2, 0.5% BSA, pH=7.4) at a 1:150 dilution. Binding assays were performed using 1251-Tyr-SRIF 14 (Perkin-Elmer, NEX 3890) dissolved in 1 mM HCl. Binding assays were performed in triplicate for each concentration of ligand in a total volume of 200 μL radioligand (25 μL ligand, 25 μL radioligand, 150 μL receptors) and incubated at room temperature for 90 minutes using a shaking table. Binding was terminated by filtration through GF/B glass fiber filters that were presoaked in 0.5% polyethyleneimine for a minimum of 4 hours. Filters were washed 9× with 1000 μL ice cold wash buffer (50 mM Tris-HCl, pH=7.4, 0.2% BSA). Filters were scored, transferred into plastic test tubes and counted in a gamma counter (Wizard2, Perkin-Elmer). Determination of the Ki for each compound was performed using non-linear regression with GraphPad PRISM-5 software (GraphPad Software, Inc., La Jolla, Calif.).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5728792";"37";"BindingDB Patent Bioactivity Data";"";"2021";"None";"";"";"";""
"CHEMBL5793940";"";"None";"446.56";"1";"5.30";"BDBM523802";"Cc1ccc(Sc2nnc(Cc3c[nH]c4cc(F)ccc34)n2CCCc2c[nH]cn2)cc1";"Ki";"'>'";"10000.0";"nM";"";"";"1105873";"UO_0000065";"";"";"";"";"0";"CHEMBL5737464";"Radioligand Binding Assay: Competitive radioligand binding experiments were performed using MEMBRANE TARGET Systems (Perkin-Elmer, Boston, Mass.) for human somatostatin receptors: SSTR1 (ES-520-M400UA), SSTR2A (ES-521-M400UA), SSTR3 (ES523-M400UA), SSTR4 (ES-524-M400UA) and SSTR5 (ES-522-M400UA) receptors. (See Table 1). Respective membrane receptor preparations were prepared in assay buffer (25 mM HEPES, 10 mM MgCl2, 1 mM CaCl2, 0.5% BSA, pH=7.4) at a 1:150 dilution. Binding assays were performed using 1251-Tyr-SRIF 14 (Perkin-Elmer, NEX 3890) dissolved in 1 mM HCl. Binding assays were performed in triplicate for each concentration of ligand in a total volume of 200 μL radioligand (25 μL ligand, 25 μL radioligand, 150 μL receptors) and incubated at room temperature for 90 minutes using a shaking table. Binding was terminated by filtration through GF/B glass fiber filters that were presoaked in 0.5% polyethyleneimine for a minimum of 4 hours. Filters were washed 9× with 1000 μL ice cold wash buffer (50 mM Tris-HCl, pH=7.4, 0.2% BSA). Filters were scored, transferred into plastic test tubes and counted in a gamma counter (Wizard2, Perkin-Elmer). Determination of the Ki for each compound was performed using non-linear regression with GraphPad PRISM-5 software (GraphPad Software, Inc., La Jolla, Calif.).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5728792";"37";"BindingDB Patent Bioactivity Data";"";"2021";"None";"";"";"";"10000.0"
"CHEMBL5815501";"";"None";"462.55";"1";"5.01";"BDBM523803";"COc1cccc(Sc2nnc(Cc3c[nH]c4cc(F)ccc34)n2CCCc2c[nH]cn2)c1";"Ki";"'>'";"10000.0";"nM";"";"";"1105878";"UO_0000065";"";"";"";"";"0";"CHEMBL5737464";"Radioligand Binding Assay: Competitive radioligand binding experiments were performed using MEMBRANE TARGET Systems (Perkin-Elmer, Boston, Mass.) for human somatostatin receptors: SSTR1 (ES-520-M400UA), SSTR2A (ES-521-M400UA), SSTR3 (ES523-M400UA), SSTR4 (ES-524-M400UA) and SSTR5 (ES-522-M400UA) receptors. (See Table 1). Respective membrane receptor preparations were prepared in assay buffer (25 mM HEPES, 10 mM MgCl2, 1 mM CaCl2, 0.5% BSA, pH=7.4) at a 1:150 dilution. Binding assays were performed using 1251-Tyr-SRIF 14 (Perkin-Elmer, NEX 3890) dissolved in 1 mM HCl. Binding assays were performed in triplicate for each concentration of ligand in a total volume of 200 μL radioligand (25 μL ligand, 25 μL radioligand, 150 μL receptors) and incubated at room temperature for 90 minutes using a shaking table. Binding was terminated by filtration through GF/B glass fiber filters that were presoaked in 0.5% polyethyleneimine for a minimum of 4 hours. Filters were washed 9× with 1000 μL ice cold wash buffer (50 mM Tris-HCl, pH=7.4, 0.2% BSA). Filters were scored, transferred into plastic test tubes and counted in a gamma counter (Wizard2, Perkin-Elmer). Determination of the Ki for each compound was performed using non-linear regression with GraphPad PRISM-5 software (GraphPad Software, Inc., La Jolla, Calif.).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5728792";"37";"BindingDB Patent Bioactivity Data";"";"2021";"None";"";"";"";"10000.0"
"CHEMBL5201594";"";"None";"410.53";"0";"4.49";"BDBM523739";"c1ccc(Cc2nnc(CCc3c[nH]c4ccccc34)n2CCCc2c[nH]cn2)cc1";"Ki";"'>'";"10000.0";"nM";"";"";"1105661";"UO_0000065";"";"";"";"";"1";"CHEMBL5737464";"Radioligand Binding Assay: Competitive radioligand binding experiments were performed using MEMBRANE TARGET Systems (Perkin-Elmer, Boston, Mass.) for human somatostatin receptors: SSTR1 (ES-520-M400UA), SSTR2A (ES-521-M400UA), SSTR3 (ES523-M400UA), SSTR4 (ES-524-M400UA) and SSTR5 (ES-522-M400UA) receptors. (See Table 1). Respective membrane receptor preparations were prepared in assay buffer (25 mM HEPES, 10 mM MgCl2, 1 mM CaCl2, 0.5% BSA, pH=7.4) at a 1:150 dilution. Binding assays were performed using 1251-Tyr-SRIF 14 (Perkin-Elmer, NEX 3890) dissolved in 1 mM HCl. Binding assays were performed in triplicate for each concentration of ligand in a total volume of 200 μL radioligand (25 μL ligand, 25 μL radioligand, 150 μL receptors) and incubated at room temperature for 90 minutes using a shaking table. Binding was terminated by filtration through GF/B glass fiber filters that were presoaked in 0.5% polyethyleneimine for a minimum of 4 hours. Filters were washed 9× with 1000 μL ice cold wash buffer (50 mM Tris-HCl, pH=7.4, 0.2% BSA). Filters were scored, transferred into plastic test tubes and counted in a gamma counter (Wizard2, Perkin-Elmer). Determination of the Ki for each compound was performed using non-linear regression with GraphPad PRISM-5 software (GraphPad Software, Inc., La Jolla, Calif.).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5728792";"37";"BindingDB Patent Bioactivity Data";"";"2021";"None";"";"";"";"10000.0"
"CHEMBL3421842";"";"None";"309.41";"0";"2.36";"BDBM50081058";"Cc1cc2ccccc2c(C(C)(C)NC(=O)[C@H]2[C@@H]3CNC[C@@H]32)n1";"kon";"'='";"";"";"";"";"686162";"";"";"";"";"";"0";"CHEMBL5732784";"Radioligand Binding Assay: Receptor binding assays refer to a technique in which labeled receptor ligands are used to detect binding to a receptor. In competition experiments test compounds, which are not labeled, compete with the binding side of a labeled ligand. The displacement of the labeled ligand by the test compound leads to a decreased signal.Procedure:For the binding experiments 200 μL of membrane homogenate from one of the following protein amounts is used: hSSTR1 (40 μg/well); hSSTR2 (25 μg/well); hSSTR3 (1.5 μg/well); hSSTR4 (0.5 μg/well); hSSTR5 (25 μg/well). The homogenate is incubated with 0.05 nM of radioligand ([3-125I-Tyr]-Somatostatin-(1-14)) in addition to increasing concentrations of a test compound or vehicle (100% binding) in a total volume of 250 μL using a Hepes buffer (10 mM, EDTA 1 mM, MgCl2 5 mM, pH7.6, BSA 0.5%, Bacitracin 0.003%, DMSO 1%) for 180 min at room temperature. The incubation is terminated by filtration with ice cold NaCl 0.9% through polyethyleneimine treated (0.3%) GF/B glass fiber filters using a cell harvester. The protein-bound radioactivity is measured in a suitable reader. The non-specific binding is defined as radioactivity bound in the presence of 1 μM Somatostatin-14 during the incubation period.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726489";"37";"BindingDB Patent Bioactivity Data";"";"2017";"None";"";"";"";""
"CHEMBL5821936";"";"None";"259.35";"0";"1.21";"BDBM311889";"Cc1cccnc1C(C)(C)NC(=O)[C@H]1[C@@H]2CNC[C@@H]21";"kon";"'='";"";"";"";"";"686172";"";"";"";"";"";"0";"CHEMBL5732784";"Radioligand Binding Assay: Receptor binding assays refer to a technique in which labeled receptor ligands are used to detect binding to a receptor. In competition experiments test compounds, which are not labeled, compete with the binding side of a labeled ligand. The displacement of the labeled ligand by the test compound leads to a decreased signal.Procedure:For the binding experiments 200 μL of membrane homogenate from one of the following protein amounts is used: hSSTR1 (40 μg/well); hSSTR2 (25 μg/well); hSSTR3 (1.5 μg/well); hSSTR4 (0.5 μg/well); hSSTR5 (25 μg/well). The homogenate is incubated with 0.05 nM of radioligand ([3-125I-Tyr]-Somatostatin-(1-14)) in addition to increasing concentrations of a test compound or vehicle (100% binding) in a total volume of 250 μL using a Hepes buffer (10 mM, EDTA 1 mM, MgCl2 5 mM, pH7.6, BSA 0.5%, Bacitracin 0.003%, DMSO 1%) for 180 min at room temperature. The incubation is terminated by filtration with ice cold NaCl 0.9% through polyethyleneimine treated (0.3%) GF/B glass fiber filters using a cell harvester. The protein-bound radioactivity is measured in a suitable reader. The non-specific binding is defined as radioactivity bound in the presence of 1 μM Somatostatin-14 during the incubation period.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726489";"37";"BindingDB Patent Bioactivity Data";"";"2017";"None";"";"";"";""
"CHEMBL1161330";"";"None";"1110.29";"None";"None";"16";"C[C@@H]1NC(=O)N[C@H](O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](N)CSSC[C@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC1=O";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL882393";"Binding affinity towards human Somatostatin receptor type 5 using 125I-[Leu,DTrp,Tyr]SRIF-28 as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145933";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"10000.0"
"CHEMBL5188361";"";"None";"446.51";"0";"4.77";"160";"Fc1cc(F)cc(Cc2nnc(CCc3c[nH]c4ccccc34)n2CCCc2c[nH]cn2)c1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5137208";"Displacement of [125I]-Tyr-SRIF 14 from SST5 receptor (unknown origin) expressed in membrane measured after 90 mins by gamma counting analysis";"B";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"None";"Membrane";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5136959";"1";"Scientific Literature";"RSC Med Chem";"2021";"None";"TIME = 1.5 hr";"";"";"10000.0"
