Smiles,Standard Value,Standardized Smiles
O=C(/C=C/c1ccc(NCCCn2cc(-c3ncnc4[nH]ccc34)cn2)cc1)NO,502.0,ON=C(O)C=Cc1ccc(NCCCn2cc(-c3ncnc4[nH]ccc34)cn2)cc1
COc1ccccc1-c1cc2c(N[C@@H]3CC[C@](C)(N)C3(C)C)c(C(N)=O)cnn2c1,20.0,COc1ccccc1-c1cc2c(N[C@@H]3CC[C@](C)(N)C3(C)C)c(C(N)=O)cnn2c1
Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1,320.0,Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1
Nc1n[nH]c2ccc(-c3ccccc3Cl)cc12,370.0,Nc1[nH]nc2ccc(-c3ccccc3Cl)cc12
CC(C)[C@H](Nc1nc2cc[nH]c(=O)c2c2cc(F)ccc12)C(F)(F)F,55.0,CC(C)[C@H](Nc1nc2cc[nH]c(=O)c2c2cc(F)ccc12)C(F)(F)F
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CC[C@H](CC#N)C2)CC1,27.3,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CC[C@H](CC#N)C2)CC1
COCC(C)(C)N(C)[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,63.0,COCC(C)(C)N(C)[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1
N#CCCN(CCC#N)C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,2.5,N#CCCN(CCC#N)C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1
Fc1ccc(N[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)cc1,57.0,Fc1ccc(N[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)cc1
FC(F)(F)CN(CC1CC1)C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,95.0,FC(F)(F)CN(CC1CC1)C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1
CC(C)(C)NC(=O)c1cnn2ccc(N3CCCC3c3cc(F)cnc3CO)nc12,869.0,CC(C)(C)NC(=O)c1cnn2ccc(N3CCCC3c3cc(F)cnc3CO)nc12
COc1cc(-c2cnc3cccc(-c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2)cc(OC)c1OC,20.0,COc1cc(-c2cnc3cccc(-c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2)cc(OC)c1OC
CN1CCN(C(=O)c2cc3c(NCc4ccccc4F)nc(-n4cnc5ccncc54)nc3n2C)CC1,1860.0,CN1CCN(C(=O)c2cc3c(NCc4ccccc4F)nc(-n4cnc5ccncc54)nc3n2C)CC1
C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCCn1ccnc1)n2C)c1ccccc1,53.0,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCCn1ccnc1)n2C)c1ccccc1
O=C(CCl)/N=c1\sccn1Cc1ccccc1Cl,1110.0,O=C(CCl)/N=c1\sccn1Cc1ccccc1Cl
Cc1ccnc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1,1400.0,Cc1ccnc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1
Cc1cc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)ccn1,190.0,Cc1cc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)ccn1
CN1CCN(c2ccc(Nc3nc4cccc(-c5cccc(S(C)(=O)=O)c5)n4n3)cc2)CC1,73.1,CN1CCN(c2ccc(Nc3nc4cccc(-c5cccc(S(C)(=O)=O)c5)n4n3)cc2)CC1
Cc1cnc(Nc2cccc(N3CCN(C)CC3)c2)nc1Nc1cccc(CO)c1,357.0,Cc1cnc(Nc2cccc(N3CCN(C)CC3)c2)nc1Nc1cccc(CO)c1
C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,0.2,C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1
CCC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,0.5,CCC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1
CC(C)NC(c1ccc(Nc2nn([C@H]3CCC[C@@H]3C#N)c3cc[nH]c(=O)c23)cc1)C(F)(F)F,330.0,CC(C)NC(c1ccc(Nc2nn([C@H]3CCC[C@@H]3C#N)c3cc[nH]c(=O)c23)cc1)C(F)(F)F
CC(O)c1cccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)c3cc[nH]c(=O)c23)c1,1700.0,CC(O)c1cccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)c3cc[nH]c(=O)c23)c1
N#CCC1(n2cc(-c3ccnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)Nc3ccccc3F)CC2)C1,12.5,N#CCC1(n2cc(-c3ccnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)Nc3ccccc3F)CC2)C1
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN([C@@H]2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)C[C@@H]2F)C1,25.0,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN([C@@H]2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)C[C@@H]2F)C1
CNCc1cc(C(=O)N2CCC(N3CC(CC#N)(n4cc(-c5ncnc6[nH]ccc56)cn4)C3)CC2)nc(C(F)(F)F)n1,25.0,CNCc1cc(C(=O)N2CCC(N3CC(CC#N)(n4cc(-c5ncnc6[nH]ccc56)cn4)C3)CC2)nc(C(F)(F)F)n1
CC1(COC(=O)N2CCC(N3CC(CC#N)(n4cc(-c5ncnc6[nH]ccc56)cn4)C3)CC2)CC1,12.5,CC1(COC(=O)N2CCC(N3CC(CC#N)(n4cc(-c5ncnc6[nH]ccc56)cn4)C3)CC2)CC1
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)OCc3ccc(F)c(F)c3)CC2)C1,25.0,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)OCc3ccc(F)c(F)c3)CC2)C1
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)OCc3cc(F)cc(F)c3)CC2)C1,25.0,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)OCc3cc(F)cc(F)c3)CC2)C1
CC1CCN1S(=O)(=O)c1ccc(Nc2nn([C@]3(CC#N)CCCOC3)c3cc[nH]c(=O)c23)cc1,0.29,CC1CCN1S(=O)(=O)c1ccc(Nc2nn([C@]3(CC#N)CCCOC3)c3cc[nH]c(=O)c23)cc1
Cc1cc(Nc2nn([C@@]3(CC#N)CCCC[C@H]3F)c3cc[nH]c(=O)c23)ccc1C(=O)N1CCSCC1,0.08,Cc1cc(Nc2nn([C@@]3(CC#N)CCCC[C@H]3F)c3cc[nH]c(=O)c23)ccc1C(=O)N1CCSCC1
Cc1cc(Nc2nn([C@]3(CC#N)CC[C@@H](C(=O)OC(C)(C)C)OC3)c3cc[nH]c(=O)c23)ccc1C(=O)N1CCSC1,0.39,Cc1cc(Nc2nn([C@]3(CC#N)CCC(C(=O)OC(C)(C)C)OC3)c3cc[nH]c(=O)c23)ccc1C(=O)N1CCSC1
COC(=O)N1CCC(CC#N)(n2nc(Nc3ccc(F)cc3)c3c(=O)[nH]ccc32)CC1,2.0,COC(=O)N1CCC(CC#N)(n2nc(Nc3ccc(F)cc3)c3c(=O)[nH]ccc32)CC1
